Height Min_sample_leaf Min_sample_split Validation_Acc
1 2 2 0.8035
1 2 12 0.8035
1 2 22 0.8035
1 2 32 0.8035
1 2 42 0.8035
1 2 52 0.8035
1 2 62 0.8035
1 2 72 0.8035
1 2 82 0.8035
1 2 92 0.8035
1 12 2 0.8035
1 12 12 0.8035
1 12 22 0.8035
1 12 32 0.8035
1 12 42 0.8035
1 12 52 0.8035
1 12 62 0.8035
1 12 72 0.8035
1 12 82 0.8035
1 12 92 0.8035
1 22 2 0.8035
1 22 12 0.8035
1 22 22 0.8035
1 22 32 0.8035
1 22 42 0.8035
1 22 52 0.8035
1 22 62 0.8035
1 22 72 0.8035
1 22 82 0.8035
1 22 92 0.8035
1 32 2 0.8035
1 32 12 0.8035
1 32 22 0.8035
1 32 32 0.8035
1 32 42 0.8035
1 32 52 0.8035
1 32 62 0.8035
1 32 72 0.8035
1 32 82 0.8035
1 32 92 0.8035
1 42 2 0.8035
1 42 12 0.8035
1 42 22 0.8035
1 42 32 0.8035
1 42 42 0.8035
1 42 52 0.8035
1 42 62 0.8035
1 42 72 0.8035
1 42 82 0.8035
1 42 92 0.8035
1 52 2 0.8035
1 52 12 0.8035
1 52 22 0.8035
1 52 32 0.8035
1 52 42 0.8035
1 52 52 0.8035
1 52 62 0.8035
1 52 72 0.8035
1 52 82 0.8035
1 52 92 0.8035
1 62 2 0.8035
1 62 12 0.8035
1 62 22 0.8035
1 62 32 0.8035
1 62 42 0.8035
1 62 52 0.8035
1 62 62 0.8035
1 62 72 0.8035
1 62 82 0.8035
1 62 92 0.8035
1 72 2 0.8035
1 72 12 0.8035
1 72 22 0.8035
1 72 32 0.8035
1 72 42 0.8035
1 72 52 0.8035
1 72 62 0.8035
1 72 72 0.8035
1 72 82 0.8035
1 72 92 0.8035
1 82 2 0.8035
1 82 12 0.8035
1 82 22 0.8035
1 82 32 0.8035
1 82 42 0.8035
1 82 52 0.8035
1 82 62 0.8035
1 82 72 0.8035
1 82 82 0.8035
1 82 92 0.8035
1 92 2 0.8035
1 92 12 0.8035
1 92 22 0.8035
1 92 32 0.8035
1 92 42 0.8035
1 92 52 0.8035
1 92 62 0.8035
1 92 72 0.8035
1 92 82 0.8035
1 92 92 0.8035
2 2 2 0.8035
2 2 12 0.8035
2 2 22 0.8035
2 2 32 0.8035
2 2 42 0.8035
2 2 52 0.8035
2 2 62 0.8035
2 2 72 0.8035
2 2 82 0.8035
2 2 92 0.8035
2 12 2 0.8035
2 12 12 0.8035
2 12 22 0.8035
2 12 32 0.8035
2 12 42 0.8035
2 12 52 0.8035
2 12 62 0.8035
2 12 72 0.8035
2 12 82 0.8035
2 12 92 0.8035
2 22 2 0.8035
2 22 12 0.8035
2 22 22 0.8035
2 22 32 0.8035
2 22 42 0.8035
2 22 52 0.8035
2 22 62 0.8035
2 22 72 0.8035
2 22 82 0.8035
2 22 92 0.8035
2 32 2 0.8035
2 32 12 0.8035
2 32 22 0.8035
2 32 32 0.8035
2 32 42 0.8035
2 32 52 0.8035
2 32 62 0.8035
2 32 72 0.8035
2 32 82 0.8035
2 32 92 0.8035
2 42 2 0.8035
2 42 12 0.8035
2 42 22 0.8035
2 42 32 0.8035
2 42 42 0.8035
2 42 52 0.8035
2 42 62 0.8035
2 42 72 0.8035
2 42 82 0.8035
2 42 92 0.8035
2 52 2 0.8035
2 52 12 0.8035
2 52 22 0.8035
2 52 32 0.8035
2 52 42 0.8035
2 52 52 0.8035
2 52 62 0.8035
2 52 72 0.8035
2 52 82 0.8035
2 52 92 0.8035
2 62 2 0.8035
2 62 12 0.8035
2 62 22 0.8035
2 62 32 0.8035
2 62 42 0.8035
2 62 52 0.8035
2 62 62 0.8035
2 62 72 0.8035
2 62 82 0.8035
2 62 92 0.8035
2 72 2 0.8035
2 72 12 0.8035
2 72 22 0.8035
2 72 32 0.8035
2 72 42 0.8035
2 72 52 0.8035
2 72 62 0.8035
2 72 72 0.8035
2 72 82 0.8035
2 72 92 0.8035
2 82 2 0.8035
2 82 12 0.8035
2 82 22 0.8035
2 82 32 0.8035
2 82 42 0.8035
2 82 52 0.8035
2 82 62 0.8035
2 82 72 0.8035
2 82 82 0.8035
2 82 92 0.8035
2 92 2 0.8035
2 92 12 0.8035
2 92 22 0.8035
2 92 32 0.8035
2 92 42 0.8035
2 92 52 0.8035
2 92 62 0.8035
2 92 72 0.8035
2 92 82 0.8035
2 92 92 0.8035
3 2 2 0.804166666667
3 2 12 0.804166666667
3 2 22 0.804166666667
3 2 32 0.804166666667
3 2 42 0.804166666667
3 2 52 0.804166666667
3 2 62 0.804166666667
3 2 72 0.804166666667
3 2 82 0.804166666667
3 2 92 0.804166666667
3 12 2 0.804166666667
3 12 12 0.804166666667
3 12 22 0.804166666667
3 12 32 0.804166666667
3 12 42 0.804166666667
3 12 52 0.804166666667
3 12 62 0.804166666667
3 12 72 0.804166666667
3 12 82 0.804166666667
3 12 92 0.804166666667
3 22 2 0.804166666667
3 22 12 0.804166666667
3 22 22 0.804166666667
3 22 32 0.804166666667
3 22 42 0.804166666667
3 22 52 0.804166666667
3 22 62 0.804166666667
3 22 72 0.804166666667
3 22 82 0.804166666667
3 22 92 0.804166666667
3 32 2 0.804166666667
3 32 12 0.804166666667
3 32 22 0.804166666667
3 32 32 0.804166666667
3 32 42 0.804166666667
3 32 52 0.804166666667
3 32 62 0.804166666667
3 32 72 0.804166666667
3 32 82 0.804166666667
3 32 92 0.804166666667
3 42 2 0.804166666667
3 42 12 0.804166666667
3 42 22 0.804166666667
3 42 32 0.804166666667
3 42 42 0.804166666667
3 42 52 0.804166666667
3 42 62 0.804166666667
3 42 72 0.804166666667
3 42 82 0.804166666667
3 42 92 0.804166666667
3 52 2 0.804166666667
3 52 12 0.804166666667
3 52 22 0.804166666667
